Address,Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
17/93 Highett Rd,Hampton,2,u,450000.0,PI,Buxton,25/02/2017,13.7,3188.0,2.0,2.0,1.0,0.0,70.0,2007.0,Bayside,-37.9462,145.0212,Southern Metropolitan,5454.0
3/56 Beach Rd,Hampton,2,u,738000.0,S,Buxton,26/07/2016,13.7,3188.0,2.0,1.0,2.0,3414.0,,,Bayside,-37.9395,145.0001,Southern Metropolitan,5454.0
3/22 Holyrood St,Hampton,3,t,1140000.0,S,hockingstuart,26/07/2016,13.7,3188.0,3.0,2.0,2.0,224.0,,1999.0,Bayside,-37.9336,144.997,Southern Metropolitan,5454.0
3/8 Alicia St,Hampton,2,u,500000.0,PI,Hodges,27/06/2016,13.7,3188.0,2.0,1.0,1.0,0.0,61.0,1970.0,Bayside,-37.9436,145.0027,Southern Metropolitan,5454.0
64 Earlsfield Rd,Hampton,4,h,1460000.0,S,Buxton,27/06/2016,13.7,3188.0,4.0,3.0,2.0,562.0,228.0,1950.0,Bayside,-37.9369,145.0163,Southern Metropolitan,5454.0
10 Talbot St,Hampton,4,h,2800000.0,VB,RT,27/06/2016,13.7,3188.0,4.0,3.0,2.0,1093.0,,,Bayside,-37.9345,145.0,Southern Metropolitan,5454.0
1/514 Bluff Rd,Hampton,3,t,820000.0,VB,Buxton,27/11/2016,13.7,3188.0,3.0,2.0,2.0,0.0,,,Bayside,-37.9368,145.0242,Southern Metropolitan,5454.0
91A Linacre Rd,Hampton,2,t,915500.0,S,Biggin,27/11/2016,13.7,3188.0,2.0,2.0,1.0,0.0,148.0,,Bayside,-37.9431,145.0118,Southern Metropolitan,5454.0
49 Service St,Hampton,4,h,1740000.0,S,Marshall,27/11/2016,13.7,3188.0,4.0,3.0,2.0,414.0,209.0,1950.0,Bayside,-37.9401,145.0083,Southern Metropolitan,5454.0
136 Thomas St,Hampton,1,h,2450000.0,S,Buxton,27/11/2016,13.7,3188.0,1.0,2.0,0.0,994.0,,,Bayside,-37.94,145.0151,Southern Metropolitan,5454.0
15 Avelin St,Hampton,4,h,1800000.0,S,RT,28/05/2016,13.7,3188.0,4.0,2.0,1.0,667.0,184.0,1935.0,Bayside,-37.9315,145.0109,Southern Metropolitan,5454.0
41 Orlando St,Hampton,4,h,2160000.0,S,hockingstuart,28/05/2016,13.7,3188.0,4.0,2.0,1.0,577.0,231.0,1940.0,Bayside,-37.9382,144.9997,Southern Metropolitan,5454.0
6 Highett Rd,Hampton,3,h,1800000.0,S,Buxton,28/08/2016,13.7,3188.0,2.0,2.0,2.0,920.0,,,Bayside,-37.9452,145.0113,Southern Metropolitan,5454.0
38 Orlando St,Hampton,3,h,2439500.0,S,Hodges,28/08/2016,13.7,3188.0,3.0,2.0,2.0,662.0,,1880.0,Bayside,-37.9384,145.0002,Southern Metropolitan,5454.0
52 Service St,Hampton,4,h,2250000.0,S,Buxton,28/08/2016,13.7,3188.0,5.0,2.0,2.0,647.0,260.0,1925.0,Bayside,-37.9407,145.0104,Southern Metropolitan,5454.0
18 Kanowna St,Hampton,4,h,2130000.0,S,hockingstuart,30/07/2016,13.7,3188.0,4.0,2.0,2.0,714.0,188.0,1925.0,Bayside,-37.9446,145.0092,Southern Metropolitan,5454.0
9/12 Bartlett St,Hampton East,2,u,400000.0,S,Greg,4/03/2017,14.5,3188.0,2.0,1.0,1.0,0.0,75.0,1960.0,Bayside,-37.9367,145.0322,Southern Metropolitan,2356.0
17 Wishart St,Hampton East,3,h,952000.0,S,Hodges,12/11/2016,14.5,3188.0,3.0,2.0,2.0,246.0,,,Bayside,-37.9356,145.0268,Southern Metropolitan,2356.0
27 Charming St,Hampton East,3,h,1255000.0,S,Hodges,13/08/2016,14.5,3188.0,3.0,2.0,2.0,614.0,,,Bayside,-37.9346,145.0302,Southern Metropolitan,2356.0
10a Roydon St,Hampton East,3,t,1020000.0,S,Buxton,14/05/2016,14.5,3188.0,2.0,2.0,2.0,221.0,171.0,,Bayside,-37.9355,145.0257,Southern Metropolitan,2356.0
1/23 Wickham Rd,Hampton East,3,h,926000.0,S,Buxton,18/06/2016,14.5,3188.0,2.0,2.0,2.0,393.0,140.0,1950.0,Bayside,-37.9431,145.0267,Southern Metropolitan,2356.0
4 Besant St,Hampton East,3,h,1070000.0,S,Hodges,19/11/2016,14.5,3188.0,3.0,1.0,3.0,583.0,106.0,1970.0,Bayside,-37.9428,145.0296,Southern Metropolitan,2356.0
2/2 Flowerdale Rd,Hampton East,2,u,801000.0,S,Buxton,19/11/2016,14.5,3188.0,2.0,1.0,1.0,217.0,107.0,1994.0,Bayside,-37.9432,145.0348,Southern Metropolitan,2356.0
28 Roydon St,Hampton East,3,t,1150000.0,S,McGrath,22/08/2016,14.5,3188.0,3.0,2.0,1.0,0.0,3.0,2005.0,Bayside,-37.9355,145.0276,Southern Metropolitan,2356.0
4/332 South Rd,Hampton East,2,u,472000.0,S,Hodges,25/02/2017,14.5,3188.0,2.0,1.0,1.0,215.0,68.0,2007.0,Kingston,-37.933,145.0322,Southern Metropolitan,2356.0
31 Warland Rd,Hampton East,3,h,1471000.0,S,McGrath,25/02/2017,14.5,3188.0,3.0,2.0,2.0,732.0,,,Bayside,-37.9362,145.0339,Southern Metropolitan,2356.0
3 Besant St,Hampton East,2,h,830000.0,PI,Buxton,27/06/2016,14.5,3188.0,2.0,1.0,2.0,658.0,,,Bayside,-37.9426,145.03,Southern Metropolitan,2356.0
2 Harry St,Hampton East,3,h,1195000.0,S,Ray,27/11/2016,14.5,3188.0,3.0,1.0,2.0,601.0,,,Bayside,-37.9386,145.0317,Southern Metropolitan,2356.0
29 Wickham Rd,Hampton East,3,h,1300000.0,S,Buxton,28/05/2016,14.5,3188.0,3.0,2.0,2.0,586.0,150.0,1950.0,Bayside,-37.9431,145.0274,Southern Metropolitan,2356.0
18 Charming St,Hampton East,4,h,1416000.0,S,Buxton,28/08/2016,14.5,3188.0,4.0,2.0,2.0,575.0,,,Bayside,-37.9343,145.0303,Southern Metropolitan,2356.0
4 Dane Rd,Hampton East,4,h,1200000.0,S,Buxton,28/08/2016,14.5,3188.0,4.0,2.0,2.0,0.0,154.0,2002.0,Kingston,-37.9405,145.0346,Southern Metropolitan,2356.0
1/4 Flowerdale Rd,Hampton East,3,u,865000.0,S,hockingstuart,28/08/2016,14.5,3188.0,3.0,2.0,2.0,317.0,,,Bayside,-37.9431,145.0347,Southern Metropolitan,2356.0
6a Scott St,Hawthorn,4,h,1650000.0,PI,Jellis,3/09/2016,4.6,3122.0,4.0,2.0,2.0,317.0,210.0,2005.0,Boroondara,-37.8344,145.0422,Southern Metropolitan,11308.0
49 Berkeley St,Hawthorn,3,h,5100000.0,S,Jellis,3/12/2016,4.6,3122.0,3.0,2.0,3.0,1038.0,,,Boroondara,-37.8332,145.0366,Southern Metropolitan,11308.0
4 Bowen St,Hawthorn,4,h,2670000.0,S,Jellis,3/12/2016,4.6,3122.0,4.0,2.0,1.0,336.0,235.0,1905.0,Boroondara,-37.8183,145.0371,Southern Metropolitan,11308.0
23 Elgin St,Hawthorn,3,h,1480000.0,S,Jellis,3/12/2016,4.6,3122.0,3.0,1.0,0.0,228.0,116.0,,Boroondara,-37.8157,145.0263,Southern Metropolitan,11308.0
25/510 Glenferrie Rd,Hawthorn,1,u,348000.0,S,Woodards,3/12/2016,4.6,3122.0,1.0,1.0,1.0,0.0,53.0,1950.0,Boroondara,-37.8303,145.0341,Southern Metropolitan,11308.0
23/146 Power St,Hawthorn,1,u,320000.0,VB,Fletchers,3/12/2016,4.6,3122.0,1.0,1.0,0.0,0.0,,,Boroondara,-37.8235,145.0258,Southern Metropolitan,11308.0
9/69 Wattle Rd,Hawthorn,3,u,1189000.0,S,Marshall,3/12/2016,4.6,3122.0,3.0,1.0,1.0,181.0,122.0,1969.0,Boroondara,-37.8243,145.0328,Southern Metropolitan,11308.0
118/862 Glenferrie Rd,Hawthorn,2,u,610000.0,PI,Marshall,4/03/2017,4.6,3122.0,2.0,2.0,1.0,85.0,82.0,2014.0,Boroondara,-37.8154,145.0369,Southern Metropolitan,11308.0
13/175 Power St,Hawthorn,2,u,575000.0,S,Nelson,4/03/2017,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8263,145.0257,Southern Metropolitan,11308.0
8/36 Power St,Hawthorn,2,u,600000.0,S,Nelson,4/03/2017,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.816,145.0272,Southern Metropolitan,11308.0
188e Riversdale Rd,Hawthorn,1,u,492000.0,S,Jellis,4/03/2017,4.6,3122.0,1.0,1.0,1.0,0.0,63.0,1995.0,Boroondara,-37.8299,145.0422,Southern Metropolitan,11308.0
16/5 Denham St,Hawthorn,2,u,891000.0,S,Marshall,4/06/2016,4.6,3122.0,3.0,1.0,1.0,1585.0,,1970.0,Boroondara,-37.8186,145.017,Southern Metropolitan,11308.0
2/5 Finchley Ct,Hawthorn,2,u,806000.0,S,Noel,4/06/2016,4.6,3122.0,2.0,1.0,1.0,0.0,64.0,1930.0,Boroondara,-37.8249,145.0342,Southern Metropolitan,11308.0
23 Melville St,Hawthorn,2,h,1155000.0,S,Jellis,4/06/2016,4.6,3122.0,2.0,1.0,2.0,235.0,,,Boroondara,-37.8153,145.0231,Southern Metropolitan,11308.0
7 Brook St,Hawthorn,3,h,2000000.0,S,Nelson,6/08/2016,4.6,3122.0,3.0,2.0,1.0,460.0,176.0,1940.0,Boroondara,-37.8155,145.019,Southern Metropolitan,11308.0
6/107 Riversdale Rd,Hawthorn,2,u,500000.0,VB,Marshall,6/08/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,2007.0,Boroondara,-37.8287,145.035,Southern Metropolitan,11308.0
13/5 Denham St,Hawthorn,2,u,753000.0,S,Marshall,7/05/2016,4.6,3122.0,2.0,1.0,2.0,0.0,88.0,1960.0,Boroondara,-37.8186,145.017,Southern Metropolitan,11308.0
7/21 Elphin Gr,Hawthorn,1,u,330000.0,PI,RT,7/05/2016,4.6,3122.0,1.0,1.0,1.0,0.0,52.0,1970.0,Boroondara,-37.8177,145.0424,Southern Metropolitan,11308.0
14 Malmsbury St,Hawthorn,3,h,1420000.0,S,Marshall,7/05/2016,4.6,3122.0,3.0,1.0,0.0,218.0,108.0,1890.0,Boroondara,-37.8214,145.0437,Southern Metropolitan,11308.0
1/185 Auburn Rd,Hawthorn,3,u,956000.0,S,Jellis,7/11/2016,4.6,3122.0,3.0,2.0,2.0,189.0,,,Boroondara,-37.8258,145.0446,Southern Metropolitan,11308.0
5/576 Glenferrie Rd,Hawthorn,2,u,418000.0,S,Dingle,7/11/2016,4.6,3122.0,2.0,1.0,0.0,1056.0,,,Boroondara,-37.8261,145.0349,Southern Metropolitan,11308.0
303/25 Lynch St,Hawthorn,2,u,495000.0,S,Fletchers,7/11/2016,4.6,3122.0,2.0,1.0,1.0,0.0,60.0,2014.0,Boroondara,-37.8216,145.0343,Southern Metropolitan,11308.0
13/177 Power St,Hawthorn,2,u,525000.0,S,Biggin,7/11/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8265,145.0257,Southern Metropolitan,11308.0
11/140 Riversdale Rd,Hawthorn,1,u,292000.0,S,Woodards,7/11/2016,4.6,3122.0,1.0,1.0,0.0,0.0,56.0,1966.0,Boroondara,-37.8294,145.0382,Southern Metropolitan,11308.0
10/28 Wattle Rd,Hawthorn,2,u,430000.0,S,Nelson,7/11/2016,4.6,3122.0,2.0,1.0,1.0,1997.0,,,Boroondara,-37.8248,145.0282,Southern Metropolitan,11308.0
4/205 Auburn Rd,Hawthorn,1,u,365000.0,PI,Jellis,8/10/2016,4.6,3122.0,1.0,1.0,1.0,0.0,,1975.0,Boroondara,-37.8272,145.0444,Southern Metropolitan,11308.0
3/164 Barkers Rd,Hawthorn,2,u,580000.0,S,hockingstuart,8/10/2016,4.6,3122.0,2.0,1.0,1.0,1089.0,76.0,2003.0,Boroondara,-37.8143,145.0322,Southern Metropolitan,11308.0
530 Burwood Rd,Hawthorn,3,h,1300000.0,S,Marshall,8/10/2016,4.6,3122.0,3.0,2.0,1.0,341.0,155.0,1938.0,Boroondara,-37.8236,145.0425,Southern Metropolitan,11308.0
44 College St,Hawthorn,3,h,1300000.0,S,Nelson,8/10/2016,4.6,3122.0,3.0,1.0,0.0,232.0,90.0,1900.0,Boroondara,-37.8173,145.0252,Southern Metropolitan,11308.0
302/2 Tweed St,Hawthorn,2,u,575000.0,S,hockingstuart,8/10/2016,4.6,3122.0,2.0,2.0,1.0,0.0,,,Boroondara,-37.8213,145.0291,Southern Metropolitan,11308.0
16/557 Glenferrie Rd,Hawthorn,1,u,335000.0,VB,Jellis,10/09/2016,4.6,3122.0,1.0,1.0,1.0,3132.0,,,Boroondara,-37.8276,145.0342,Southern Metropolitan,11308.0
8/32 Liddiard St,Hawthorn,2,u,440000.0,SP,Jellis,10/09/2016,4.6,3122.0,2.0,1.0,1.0,0.0,52.0,1970.0,Boroondara,-37.8192,145.0385,Southern Metropolitan,11308.0
8/1 Muir St,Hawthorn,3,u,1000000.0,PI,Kay,10/09/2016,4.6,3122.0,3.0,3.0,2.0,0.0,145.0,1999.0,Boroondara,-37.8144,145.0153,Southern Metropolitan,11308.0
69 Power St,Hawthorn,4,h,2610000.0,S,Marshall,10/09/2016,4.6,3122.0,4.0,2.0,7.0,0.0,,,Boroondara,-37.8187,145.0272,Southern Metropolitan,11308.0
6 Salisbury Gr,Hawthorn,3,h,1741000.0,S,Marshall,10/09/2016,4.6,3122.0,3.0,1.0,1.0,383.0,109.0,1910.0,Boroondara,-37.8155,145.0385,Southern Metropolitan,11308.0
18 Violet Gr,Hawthorn,3,h,2325000.0,S,Jellis,10/09/2016,4.6,3122.0,3.0,2.0,1.0,373.0,,,Boroondara,-37.8281,145.0391,Southern Metropolitan,11308.0
3/185 Auburn Rd,Hawthorn,2,u,545000.0,S,Jellis,10/12/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,2004.0,Boroondara,-37.8258,145.0446,Southern Metropolitan,11308.0
9/63 Berkeley St,Hawthorn,2,u,655000.0,S,hockingstuart,10/12/2016,4.6,3122.0,2.0,1.0,1.0,0.0,78.0,1960.0,Boroondara,-37.8343,145.0364,Southern Metropolitan,11308.0
3 Camden Rd,Hawthorn,2,h,2920000.0,S,Jellis,10/12/2016,4.6,3122.0,2.0,1.0,3.0,791.0,,1928.0,Boroondara,-37.8251,145.0385,Southern Metropolitan,11308.0
13/561 Glenferrie Rd,Hawthorn,1,u,488000.0,S,Marshall,10/12/2016,4.6,3122.0,1.0,1.0,1.0,0.0,57.0,2004.0,Boroondara,-37.8272,145.0343,Southern Metropolitan,11308.0
1/9 Kinkora Rd,Hawthorn,3,h,1510000.0,S,Marshall,10/12/2016,4.6,3122.0,3.0,2.0,2.0,264.0,,1970.0,Boroondara,-37.8163,145.0301,Southern Metropolitan,11308.0
1/41 Morang Rd,Hawthorn,1,u,450000.0,S,Collins,11/03/2017,4.6,3122.0,1.0,1.0,1.0,0.0,,,Boroondara,-37.8237,145.0242,Southern Metropolitan,11308.0
3 Randolph St,Hawthorn,3,h,2065000.0,S,Jellis,12/06/2016,4.6,3122.0,3.0,1.0,1.0,351.0,150.0,1910.0,Boroondara,-37.8165,145.02100000000004,Southern Metropolitan,11308.0
5/67 Auburn Rd,Hawthorn,1,u,350000.0,VB,Noel,12/11/2016,4.6,3122.0,1.0,1.0,1.0,0.0,51.0,1960.0,Boroondara,-37.8208,145.0456,Southern Metropolitan,11308.0
1/27 Glen St,Hawthorn,2,u,645000.0,S,Jellis,12/11/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8314,145.0353,Southern Metropolitan,11308.0
2/2 Kooyongkoot Rd,Hawthorn,3,t,1400000.0,S,Jellis,12/11/2016,4.6,3122.0,3.0,2.0,2.0,299.0,,1960.0,Boroondara,-37.8299,145.0387,Southern Metropolitan,11308.0
16 Pine St,Hawthorn,3,h,1712000.0,S,Marshall,12/11/2016,4.6,3122.0,3.0,1.0,1.0,342.0,130.0,1900.0,Boroondara,-37.814,145.0212,Southern Metropolitan,11308.0
3/18 Connell St,Hawthorn,2,u,520000.0,PI,CASTRAN,13/08/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8185,145.0235,Southern Metropolitan,11308.0
3/1 Elm St,Hawthorn,1,u,480000.0,VB,Jellis,13/08/2016,4.6,3122.0,1.0,1.0,1.0,0.0,50.0,1940.0,Boroondara,-37.8128,145.0171,Southern Metropolitan,11308.0
9/4 Lisson Gr,Hawthorn,2,u,630000.0,S,Jellis,13/08/2016,4.6,3122.0,2.0,1.0,1.0,71.0,,,Boroondara,-37.8268,145.0267,Southern Metropolitan,11308.0
10 Oak St,Hawthorn,4,h,3225000.0,S,Jellis,13/08/2016,4.6,3122.0,4.0,2.0,2.0,665.0,220.0,1890.0,Boroondara,-37.814,145.0175,Southern Metropolitan,11308.0
4/178 Power St,Hawthorn,2,u,517000.0,S,Jellis,14/05/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8261,145.0254,Southern Metropolitan,11308.0
8/203 Auburn Rd,Hawthorn,1,u,320000.0,VB,Marshall,15/10/2016,4.6,3122.0,1.0,1.0,1.0,0.0,,,Boroondara,-37.827,145.0444,Southern Metropolitan,11308.0
4 Falmouth St,Hawthorn,2,h,1828500.0,S,Jellis,15/10/2016,4.6,3122.0,2.0,1.0,0.0,243.0,,1885.0,Boroondara,-37.8202,145.0409,Southern Metropolitan,11308.0
7/6 Osborne Ct,Hawthorn,1,u,400000.0,PI,Biggin,15/10/2016,4.6,3122.0,1.0,1.0,1.0,0.0,41.0,1950.0,Boroondara,-37.8155,145.0161,Southern Metropolitan,11308.0
78/8 Wallen Rd,Hawthorn,4,u,1650000.0,VB,Kay,15/10/2016,4.6,3122.0,4.0,2.0,3.0,207.0,180.0,2002.0,Boroondara,-37.8271,145.0243,Southern Metropolitan,11308.0
4 Ardene Ct,Hawthorn,5,h,3950000.0,S,Jellis,16/04/2016,4.6,3122.0,4.0,2.0,3.0,1236.0,340.0,1890.0,Boroondara,-37.8257,145.0321,Southern Metropolitan,11308.0
3/566 Glenferrie Rd,Hawthorn,2,u,587500.0,S,Jellis,16/07/2016,4.6,3122.0,2.0,1.0,1.0,1099.0,72.0,1965.0,Boroondara,-37.8271,145.0347,Southern Metropolitan,11308.0
107/567 Glenferrie Rd,Hawthorn,2,u,560000.0,S,hockingstuart,16/07/2016,4.6,3122.0,2.0,1.0,1.0,0.0,70.0,2013.0,Boroondara,-37.8268,145.0344,Southern Metropolitan,11308.0
23 Edgerton St,Hawthorn,4,h,1936000.0,S,Kay,17/09/2016,4.6,3122.0,4.0,2.0,1.0,218.0,173.0,1890.0,Boroondara,-37.8142,145.0252,Southern Metropolitan,11308.0
2 Fordholm Rd,Hawthorn,5,h,4250000.0,PI,Marshall,17/09/2016,4.6,3122.0,5.0,4.0,3.0,1275.0,435.0,1930.0,Boroondara,-37.8291,145.0308,Southern Metropolitan,11308.0
3 Glen St,Hawthorn,5,h,3500000.0,VB,Marshall,17/09/2016,4.6,3122.0,5.0,1.0,3.0,740.0,5.0,,Boroondara,-37.8298,145.0355,Southern Metropolitan,11308.0
7/12 Pine St,Hawthorn,2,u,487500.0,S,Kay,17/09/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.814,145.02100000000004,Southern Metropolitan,11308.0
11/70 Church St,Hawthorn,3,u,630000.0,S,Jellis,18/03/2017,4.6,3122.0,3.0,1.0,1.0,0.0,75.0,1970.0,Boroondara,-37.8153,145.02100000000004,Southern Metropolitan,11308.0
1 College St,Hawthorn,3,h,1560000.0,PI,Jellis,18/03/2017,4.6,3122.0,3.0,2.0,0.0,198.0,148.0,1910.0,Boroondara,-37.8169,145.0234,Southern Metropolitan,11308.0
36 College St,Hawthorn,2,h,2265000.0,S,Morrison,18/03/2017,4.6,3122.0,2.0,1.0,1.0,460.0,,,Boroondara,-37.8173,145.0248,Southern Metropolitan,11308.0
305/567 Glenferrie Rd,Hawthorn,3,u,840000.0,VB,hockingstuart,18/03/2017,4.6,3122.0,3.0,2.0,2.0,0.0,88.0,2014.0,Boroondara,-37.8268,145.0344,Southern Metropolitan,11308.0
1B Hepburn St,Hawthorn,3,h,1780000.0,SP,Jellis,18/03/2017,4.6,3122.0,3.0,3.0,2.0,88.0,178.0,2011.0,Boroondara,-37.824,145.0427,Southern Metropolitan,11308.0
11/179 Power St,Hawthorn,2,u,605000.0,S,Jellis,18/03/2017,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8268,145.0257,Southern Metropolitan,11308.0
8/22 Connell St,Hawthorn,2,u,535000.0,S,Jellis,18/06/2016,4.6,3122.0,2.0,1.0,1.0,1228.0,,1970.0,Boroondara,-37.8185,145.0236,Southern Metropolitan,11308.0
3/35 Creswick St,Hawthorn,2,u,815000.0,PI,Jellis,18/06/2016,4.6,3122.0,2.0,1.0,1.0,0.0,93.0,1940.0,Boroondara,-37.8184,145.0163,Southern Metropolitan,11308.0
6/28 Manningtree Rd,Hawthorn,3,u,1975000.0,VB,hockingstuart,18/06/2016,4.6,3122.0,3.0,2.0,1.0,0.0,196.0,2010.0,Boroondara,-37.8235,145.029,Southern Metropolitan,11308.0
5/155 Power St,Hawthorn,2,u,445000.0,PI,Jellis,18/06/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,1960.0,Boroondara,-37.8249,145.026,Southern Metropolitan,11308.0
8/14 Creswick St,Hawthorn,2,u,663000.0,S,Marshall,19/11/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8166,145.0163,Southern Metropolitan,11308.0
2/21 Elphin Gr,Hawthorn,2,u,657500.0,S,Jellis,19/11/2016,4.6,3122.0,2.0,1.0,1.0,728.0,73.0,1965.0,Boroondara,-37.8177,145.0424,Southern Metropolitan,11308.0
50 Kinkora Rd,Hawthorn,4,h,5050000.0,VB,Kay,19/11/2016,4.6,3122.0,4.0,4.0,2.0,905.0,373.0,1913.0,Boroondara,-37.8168,145.0321,Southern Metropolitan,11308.0
22/9 Lisson Gr,Hawthorn,1,u,445000.0,S,Biggin,19/11/2016,4.6,3122.0,1.0,1.0,1.0,0.0,52.0,1970.0,Boroondara,-37.8261,145.0269,Southern Metropolitan,11308.0
14/107 Riversdale Rd,Hawthorn,2,u,750000.0,VB,Jellis,19/11/2016,4.6,3122.0,2.0,1.0,1.0,747.0,,2007.0,Boroondara,-37.8287,145.035,Southern Metropolitan,11308.0
4A Simpson Pl,Hawthorn,3,h,1180000.0,S,Jellis,19/11/2016,4.6,3122.0,3.0,1.0,3.0,218.0,92.0,1900.0,Boroondara,-37.8176,145.0204,Southern Metropolitan,11308.0
5/40 Barkers Rd,Hawthorn,2,u,470000.0,VB,hockingstuart,22/05/2016,4.6,3122.0,2.0,1.0,1.0,0.0,70.0,1970.0,Boroondara,-37.813,145.0207,Southern Metropolitan,11308.0
710/377 Burwood Rd,Hawthorn,2,u,485000.0,VB,LITTLE,22/05/2016,4.6,3122.0,2.0,1.0,1.0,0.0,76.0,2005.0,Boroondara,-37.8226,145.0368,Southern Metropolitan,11308.0
13/506 Glenferrie Rd,Hawthorn,1,u,290000.0,S,Biggin,22/05/2016,4.6,3122.0,1.0,1.0,1.0,1568.0,,,Boroondara,-37.8308,145.034,Southern Metropolitan,11308.0
466 Auburn Rd,Hawthorn,4,h,1800000.0,SP,Noel,22/08/2016,4.6,3122.0,3.0,2.0,4.0,601.0,158.0,1940.0,Boroondara,-37.839,145.0418,Southern Metropolitan,11308.0
10/32 Manningtree Rd,Hawthorn,2,u,805000.0,S,Kay,22/08/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,1970.0,Boroondara,-37.8235,145.0294,Southern Metropolitan,11308.0
5 Wattle Gr,Hawthorn,3,h,1855000.0,S,Marshall,22/08/2016,4.6,3122.0,3.0,1.0,1.0,304.0,125.0,1900.0,Boroondara,-37.8253,145.0287,Southern Metropolitan,11308.0
23 William St,Hawthorn,3,h,1377000.0,S,Jellis,22/08/2016,4.6,3122.0,3.0,1.0,2.0,314.0,,1890.0,Boroondara,-37.8202,145.0404,Southern Metropolitan,11308.0
1/4 Hill St,Hawthorn,2,u,665000.0,S,Jellis,23/04/2016,4.6,3122.0,2.0,1.0,3.0,0.0,70.0,1965.0,Boroondara,-37.8183,145.0194,Southern Metropolitan,11308.0
1/3 Clovelly Ct,Hawthorn,2,u,751000.0,S,RT,24/09/2016,4.6,3122.0,2.0,1.0,1.0,711.0,,,Boroondara,-37.8144,145.0328,Southern Metropolitan,11308.0
24 College St,Hawthorn,3,h,1551000.0,S,Jellis,24/09/2016,4.6,3122.0,3.0,1.0,1.0,199.0,103.0,1890.0,Boroondara,-37.8172,145.0243,Southern Metropolitan,11308.0
8/67 Denham St,Hawthorn,1,u,415000.0,S,Woodards,24/09/2016,4.6,3122.0,1.0,1.0,1.0,0.0,,,Boroondara,-37.8192,145.0221,Southern Metropolitan,11308.0
12/48 Oxley Rd,Hawthorn,2,u,743000.0,S,Jellis,24/09/2016,4.6,3122.0,2.0,1.0,2.0,0.0,,,Boroondara,-37.8249,145.0405,Southern Metropolitan,11308.0
74 Denham St,Hawthorn,2,h,1535000.0,S,LITTLE,25/02/2017,4.6,3122.0,2.0,1.0,0.0,243.0,,,Boroondara,-37.8198,145.0245,Southern Metropolitan,11308.0
5/29 Elphin Gr,Hawthorn,2,u,612500.0,S,Marshall,25/02/2017,4.6,3122.0,2.0,1.0,1.0,859.0,71.0,1960.0,Boroondara,-37.8183,145.0423,Southern Metropolitan,11308.0
59 Mason St,Hawthorn,3,h,2410000.0,S,Jellis,25/02/2017,4.6,3122.0,3.0,2.0,0.0,249.0,171.0,1890.0,Boroondara,-37.8169,145.02100000000004,Southern Metropolitan,11308.0
5/70 Power St,Hawthorn,2,u,690000.0,S,Jellis,25/02/2017,4.6,3122.0,2.0,1.0,1.0,82.0,,,Boroondara,-37.81800000000001,145.0268,Southern Metropolitan,11308.0
18/508 Glenferrie Rd,Hawthorn,2,u,695000.0,S,Jellis,26/07/2016,4.6,3122.0,2.0,1.0,1.0,3194.0,,,Boroondara,-37.8305,145.0341,Southern Metropolitan,11308.0
10/150 Barkers Rd,Hawthorn,2,u,715000.0,S,Marshall,27/11/2016,4.6,3122.0,2.0,1.0,1.0,0.0,82.0,2001.0,Boroondara,-37.8142,145.0308,Southern Metropolitan,11308.0
35 College St,Hawthorn,3,h,2375000.0,VB,Jellis,27/11/2016,4.6,3122.0,3.0,2.0,2.0,472.0,,,Boroondara,-37.8171,145.0252,Southern Metropolitan,11308.0
12 Morang Rd,Hawthorn,3,h,1980000.0,S,Jellis,27/11/2016,4.6,3122.0,3.0,2.0,1.0,151.0,,,Boroondara,-37.8219,145.0241,Southern Metropolitan,11308.0
8B Myrtle St,Hawthorn,2,t,1055000.0,S,Jellis,27/11/2016,4.6,3122.0,2.0,2.0,1.0,191.0,151.0,1975.0,Boroondara,-37.813,145.0167,Southern Metropolitan,11308.0
151 Power St,Hawthorn,4,h,1976000.0,S,RT,27/11/2016,4.6,3122.0,4.0,2.0,2.0,410.0,275.0,1890.0,Boroondara,-37.8246,145.026,Southern Metropolitan,11308.0
2/472 Glenferrie Rd,Hawthorn,1,u,382000.0,SP,Kay,28/05/2016,4.6,3122.0,1.0,1.0,1.0,0.0,,,Boroondara,-37.8339,145.0335,Southern Metropolitan,11308.0
